name,mileage,stars,reviews,price,dealer_name
2019 BMW X5 xDrive40i,"18,948 mi.",4.7,361 ,"$70,500",Gebhardt BMW
2018 BMW 530 i,"25,871 mi.",4.8,"1,197 ","$41,868",Richmond BMW
2019 BMW 540 i xDrive,"27,434 mi.",4.5,73 ,"$51,533",BMW of Mt. Laurel
2017 BMW X3 sDrive28i,"56,510 mi.",4.0,848 ,"$28,668",David McDavid Honda Irving
2020 BMW M340 i xDrive,"15,001 mi.",4.8,182 ,"$59,999",Glenview Luxury Imports
2016 BMW 328 i,"40,733 mi.",3.4,24 ,"$17,999","Ournextcar, LLC"
2013 BMW 328 i,"64,207 mi.",3.9,57 ,"$17,995",Cactus Jack's Auto Camelback
2018 BMW X2 sDrive28i,"45,121 mi.",4.7,134 ,"$30,200",Audi North Miami
2018 BMW X5 sDrive35i,"13,475 mi.",4.6,372 ,"$47,995",Sawgrass INFINITI
2016 BMW X6 M Base,"44,553 mi.",4.1,9 ,"$57,995",Imperial Highline
2019 BMW 530 i xDrive,"32,102 mi.",4.9,680 ,"$41,998",Paul Miller BMW
2019 BMW M550 i xDrive,"25,588 mi.",4.5,"1,691 ","$61,928",BMW of Fairfax
2017 BMW 320 i xDrive,"47,373 mi.",4.7,228 ,"$25,998",CarLotz Downers Grove
2021 BMW X5 xDrive40i,"12,095 mi.",4.8,186 ,"$68,995",Budget Car Sales
2018 BMW M2 Base,"12,912 mi.",4.9,"2,421 ","$55,988",Circle BMW
2020 BMW M340 i xDrive,"15,604 mi.",4.6,"1,141 ","$52,888",Huntley Ford
2017 BMW 320 i xDrive,"14,258 mi.",4.8,"1,032 ","$27,750",McGrath Acura of Libertyville
2019 BMW X3 xDrive30i,"33,741 mi.",4.2,13 ,"$39,871",Patrick Mini
2015 BMW M4 Base,"51,672 mi.",1.0,2 ,"$43,489",Jeff Wyler Springfield Chrysler Dodge Jeep RAM
2018 BMW M550 i xDrive,"14,474 mi.",4.6,904 ,"$64,988",All Star Dodge Chrysler Jeep RAM
2020 BMW X5 xDrive40i,"14,630 mi.",4.1,17 ,"$64,995",Sawyer Lyons Buick GMC of Randolph
2018 BMW 530 i,"19,275 mi.",4.8,485 ,"$41,498",BMW of Delray Beach
2018 BMW X2 xDrive28i,"35,737 mi.",4.7,803 ,"$34,955",Tulley Automotive Group
2018 BMW X3 xDrive30i,"20,712 mi.",4.8,"4,595 ","$41,900",Motor Werks - Barrington Auto Mall
2017 BMW X3 sDrive28i,"19,902 mi.",4.6,135 ,"$34,900",THE COLLECTION
2018 BMW X6 xDrive50i,"19,643 mi.",4.5,97 ,"$64,951",Passport Motors
2019 BMW X5 xDrive40i,"23,350 mi.",4.3,163 ,"$65,997",Sewell BMW MINI of Plano
2018 BMW M5 Base,"34,593 mi.",4.6,377 ,"$82,432",BMW of Orland Park
2019 BMW 540 i xDrive,"32,207 mi.",4.5,341 ,"$53,980",BMW of Atlantic City
2018 BMW X2 xDrive28i,"19,639 mi.",4.8,"3,609 ","$35,290",Acton Toyota of Littleton
2019 BMW 440 Gran Coupe i,"19,708 mi.",2.1,8 ,"$45,997",Century Automotive
2018 BMW X5 xDrive35i,"41,103 mi.",4.7,415 ,"$38,233",BMW Mt. Kisco
2020 BMW X5 xDrive40i,"17,605 mi.",4.9,"3,127 ","$64,983",BMW of Devon
2020 BMW M340 i xDrive,"20,085 mi.",4.2,13 ,"$57,511",Patrick Mini
2018 BMW X5 xDrive35i,"30,730 mi.",4.7,"1,633 ","$47,852",Motorwerks BMW
2018 BMW X5 xDrive35i,"29,529 mi.",4.4,"1,526 ","$44,998",Stevens Creek BMW
2012 BMW X3 xDrive28i,"33,100 mi.",2.3,9 ,"$18,498",Frontline Motors
